Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,NIV_EDUCA_esta,Poblacio
1997,01,07,34,2,2219
1997,01,07,34,3,1526
1997,01,07,34,4,1485
1997,01,07,34,5,908
1997,01,07,34,6,176
1997,01,07,35,1,4193
1997,01,07,35,2,7996
1997,01,07,35,3,5572
1997,01,07,35,4,7040
1997,01,07,35,5,4920
1997,01,07,35,6,652
1997,01,07,36,1,851
1997,01,07,36,2,2038
1997,01,07,36,3,1723
1997,01,07,36,4,2043
1997,01,07,36,5,1462
1997,01,07,36,6,219
1997,01,07,37,1,7526
1997,01,07,37,2,8923
1997,01,07,37,3,6463
1997,01,07,37,4,4212
1997,01,07,37,5,1345
1997,01,07,37,6,835
1997,01,07,38,1,2329
1997,01,07,38,2,3050
1997,01,07,38,3,2063
1997,01,07,38,4,1539
1997,01,07,38,5,575
1997,01,07,38,6,250
1997,01,07,39,1,1235
1997,01,07,39,2,1853
1997,01,07,39,3,1187
1997,01,07,39,4,1160
1997,01,07,39,5,724
1997,01,07,39,6,134
1997,01,07,40,1,1044
1997,01,07,40,2,1496
1997,01,07,40,3,825
1997,01,07,40,4,873
1997,01,07,40,5,573
1997,01,07,40,6,45
1997,01,07,41,1,435
1997,01,07,41,2,1070
1997,01,07,41,3,924
1997,01,07,41,4,1159
1997,01,07,41,5,872
1997,01,07,41,6,89
1997,01,07,42,1,54
1997,01,07,42,2,62
1997,01,07,42,3,45
1997,01,07,42,4,6
1997,01,07,42,5,29
1997,01,07,42,6,0
1997,01,07,43,1,4420
1997,01,07,43,2,6601
1997,01,07,43,3,4320
1997,01,07,43,4,4651
1997,01,07,43,5,2606
1997,01,07,43,6,593
1997,01,08,44,1,3654
1997,01,08,44,2,6225
1997,01,08,44,3,4171
1997,01,08,44,4,4570
1997,01,08,44,5,2621
1997,01,08,44,6,508
1997,01,08,45,1,4473
1997,01,08,45,2,6459
1997,01,08,45,3,4358
1997,01,08,45,4,3924
1997,01,08,45,5,1730
1997,01,08,45,6,446
1997,01,08,46,1,3230
1997,01,08,46,2,4491
1997,01,08,46,3,2311
1997,01,08,46,4,2141
1997,01,08,46,5,986
1997,01,08,46,6,177
1997,01,08,47,1,410
1997,01,08,47,2,735
1997,01,08,47,3,430
1997,01,08,47,4,192
1997,01,08,47,5,36
1997,01,08,47,6,43
1997,01,08,48,1,2555
1997,01,08,48,2,4609
1997,01,08,48,3,3135
1997,01,08,48,4,2994
1997,01,08,48,5,1527
1997,01,08,48,6,362
1997,01,08,49,1,1333
1997,01,08,49,2,2486
1997,01,08,49,3,1784
1997,01,08,49,4,1025
1997,01,08,49,5,415
1997,01,08,49,6,261
1997,01,08,50,1,3948
1997,01,08,50,2,4190
1997,01,08,50,3,2852
1997,01,08,50,4,1496
1997,01,08,50,5,367
1997,01,08,50,6,351
1997,01,08,51,1,3116
1997,01,08,51,2,3666
1997,01,08,51,3,2311
1997,01,08,51,4,1441
1997,01,08,51,5,466
1997,01,08,51,6,259
1997,01,08,52,1,6270
1997,01,08,52,2,7201
1997,01,08,52,3,5309
1997,01,08,52,4,3737
1997,01,08,52,5,1263
1997,01,08,52,6,636
1997,01,08,53,1,2234
1997,01,08,53,2,2322
1997,01,08,53,3,1295
1997,01,08,53,4,547
1997,01,08,53,5,147
1997,01,08,53,6,141
1997,01,08,54,1,570
1997,01,08,54,2,698
1997,01,08,54,3,300
1997,01,08,54,4,87
1997,01,08,54,5,0
1997,01,08,54,6,66
1997,01,08,55,1,2041
1997,01,08,55,2,2857
1997,01,08,55,3,1859
1997,01,08,55,4,1140
1997,01,08,55,5,261
1997,01,08,55,6,199
1997,01,08,56,1,140
1997,01,08,56,2,211
1997,01,08,56,3,92
1997,01,08,56,4,17
1997,01,08,56,5,0
1997,01,08,56,6,19
1997,01,09,57,1,1739
1997,01,09,57,2,2285
1997,01,09,57,3,1477
1997,01,09,57,4,711
1997,01,09,57,5,199
1997,01,09,57,6,164
1997,01,09,58,1,541
1997,01,09,58,2,800
1997,01,09,58,3,295
1997,01,09,58,4,123
1997,01,09,58,5,0
1997,01,09,58,6,55
1997,01,09,59,1,2057
1997,01,09,59,2,3158
1997,01,09,59,3,1990
1997,01,09,59,4,981
1997,01,09,59,5,256
1997,01,09,59,6,196
1997,01,09,60,1,6060
1997,01,09,60,2,12799
1997,01,09,60,3,9286
1997,01,09,60,4,9653
1997,01,09,60,5,4943
1997,01,09,60,6,1261
1997,01,09,61,1,2953
1997,01,09,61,2,6904
1997,01,09,61,3,5267
1997,01,09,61,4,5330
1997,01,09,61,5,2852
1997,01,09,61,6,666
1997,01,09,62,1,2033
1997,01,09,62,2,3529
1997,01,09,62,3,2301
1997,01,09,62,4,2625
1997,01,09,62,5,1587
1997,01,09,62,6,184
1997,01,09,63,1,2209
1997,01,09,63,2,4811
1997,01,09,63,3,3740
1997,01,09,63,4,4395
1997,01,09,63,5,2662
1997,01,09,63,6,385
1997,01,10,64,1,4394
1997,01,10,64,2,8706
1997,01,10,64,3,6436
1997,01,10,64,4,7285
1997,01,10,64,5,4495
1997,01,10,64,6,719
1997,01,10,65,1,2461
1997,01,10,65,2,5261
1997,01,10,65,3,4312
1997,01,10,65,4,4289
1997,01,10,65,5,2419
1997,01,10,65,6,535
1997,01,10,66,1,1385
1997,01,10,66,2,2806
1997,01,10,66,3,2206
1997,01,10,66,4,2301
1997,01,10,66,5,1535
1997,01,10,66,6,262
1997,01,10,67,1,240
1997,01,10,67,2,617
1997,01,10,67,3,646
1997,01,10,67,4,1154
1997,01,10,67,5,1954
1997,01,10,67,6,106
1997,01,10,68,1,3899
1997,01,10,68,2,6831
1997,01,10,68,3,4139
1997,01,10,68,4,3723
1997,01,10,68,5,1690
1997,01,10,68,6,451
1997,01,10,69,1,887
1997,01,10,69,2,1149
1997,01,10,69,3,767
1997,01,10,69,4,621
1997,01,10,69,5,199
1997,01,10,69,6,55
1997,01,10,70,1,4827
1997,01,10,70,2,5665
1997,01,10,70,3,4142
1997,01,10,70,4,2341
1997,01,10,70,5,711
1997,01,10,70,6,480
1997,01,10,71,1,2300
1997,01,10,71,2,4282
1997,01,10,71,3,3137
1997,01,10,71,4,2758
1997,01,10,71,5,1100
1997,01,10,71,6,372
1997,01,10,72,1,4018
1997,01,10,72,2,7431
1997,01,10,72,3,5253
1997,01,10,72,4,4866
1997,01,10,72,5,2142
1997,01,10,72,6,500
1997,01,10,73,1,5702
1997,01,10,73,2,8352
1997,01,10,73,3,6388
1997,01,10,73,4,4853
1997,01,10,73,5,1805
1997,01,10,73,6,690
1998,01,01,01,1,7710
1998,01,01,01,2,11325
1998,01,01,01,3,4553
1998,01,01,01,4,4150
1998,01,01,01,5,2302
1998,01,01,01,6,1044
1998,01,01,02,1,2271
1998,01,01,02,2,3916
1998,01,01,02,3,1899
1998,01,01,02,4,2357
1998,01,01,02,5,1903
1998,01,01,02,6,295
1998,01,01,03,1,3528
1998,01,01,03,2,4645
1998,01,01,03,3,2472
1998,01,01,03,4,1606
1998,01,01,03,5,520
1998,01,01,03,6,331
1998,01,01,04,1,3606
1998,01,01,04,2,5669
1998,01,01,04,3,2837
1998,01,01,04,4,3154
1998,01,01,04,5,2130
1998,01,01,04,6,608
1998,01,02,05,1,2477
1998,01,02,05,2,5505
1998,01,02,05,3,4349
1998,01,02,05,4,6161
1998,01,02,05,5,5461
1998,01,02,05,6,799
1998,01,02,06,1,5195
1998,01,02,06,2,10733
1998,01,02,06,3,7936
1998,01,02,06,4,9856
1998,01,02,06,5,8019
1998,01,02,06,6,1228
1998,01,02,07,1,2473
1998,01,02,07,2,6280
1998,01,02,07,3,5029
1998,01,02,07,4,9019
1998,01,02,07,5,11138
1998,01,02,07,6,1014
1998,01,02,08,1,3154
1998,01,02,08,2,6867
1998,01,02,08,3,5212
1998,01,02,08,4,9164
1998,01,02,08,5,9763
1998,01,02,08,6,1008
1998,01,02,09,1,4720
1998,01,02,09,2,10214
1998,01,02,09,3,7988
1998,01,02,09,4,12181
1998,01,02,09,5,11519
1998,01,02,09,6,1642
1998,01,02,10,1,4042
1998,01,02,10,2,8246
1998,01,02,10,3,5933
1998,01,02,10,4,7573
1998,01,02,10,5,5755
1998,01,02,10,6,946
1998,01,03,11,1,5971
1998,01,03,11,2,9734
1998,01,03,11,3,5754
1998,01,03,11,4,5245
1998,01,03,11,5,2564
1998,01,03,11,6,895
1998,01,03,12,1,489
1998,01,03,12,2,468
1998,01,03,12,3,182
1998,01,03,12,4,45
1998,01,03,12,5,0
1998,01,03,12,6,73
1998,01,03,13,1,3857
1998,01,03,13,2,7549
1998,01,03,13,3,4865
1998,01,03,13,4,4265
1998,01,03,13,5,1555
1998,01,03,13,6,908
1998,01,03,14,1,1052
1998,01,03,14,2,2044
1998,01,03,14,3,1603
1998,01,03,14,4,1802
1998,01,03,14,5,1205
1998,01,03,14,6,247
1998,01,03,15,1,2333
1998,01,03,15,2,3467
1998,01,03,15,3,2398
1998,01,03,15,4,2531
1998,01,03,15,5,1619
1998,01,03,15,6,422
1998,01,03,16,1,2146
1998,01,03,16,2,4405
1998,01,03,16,3,3057
1998,01,03,16,4,3184
1998,01,03,16,5,1565
1998,01,03,16,6,561
1998,01,03,17,1,3525
1998,01,03,17,2,5907
1998,01,03,17,3,3954
1998,01,03,17,4,4036
1998,01,03,17,5,2362
1998,01,03,17,6,736
1998,01,03,18,1,5334
1998,01,03,18,2,9113
1998,01,03,18,3,6272
1998,01,03,18,4,7078
1998,01,03,18,5,5062
1998,01,03,18,6,1014
1998,01,04,19,1,3345
1998,01,04,19,2,7588
1998,01,04,19,3,6423
1998,01,04,19,4,10454
1998,01,04,19,5,10703
1998,01,04,19,6,1493
1998,01,04,20,1,2077
1998,01,04,20,2,4703
1998,01,04,20,3,3267
1998,01,04,20,4,5292
1998,01,04,20,5,4855
1998,01,04,20,6,868
1998,01,04,21,1,349
1998,01,04,21,2,1079
1998,01,04,21,3,1128
1998,01,04,21,4,2834
1998,01,04,21,5,3814
1998,01,04,21,6,338
1998,01,05,22,1,354
1998,01,05,22,2,474
1998,01,05,22,3,354
1998,01,05,22,4,588
1998,01,05,22,5,655
1998,01,05,22,6,84
