Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,LLOC_NAIX_REGIO,Poblacio,REF_Poblacio
1997,01,05,25,3,6,21403
1997,01,05,25,4,11,21403
1997,01,05,25,5,384,21403
1997,01,05,25,6,0,21403
1997,01,05,25,7,0,21403
1997,01,05,26,1,74,42822
1997,01,05,26,2,653,42822
1997,01,05,26,3,24,42822
1997,01,05,26,4,139,42822
1997,01,05,26,5,797,42822
1997,01,05,26,6,0,42822
1997,01,05,26,7,0,42822
1997,01,05,27,1,26,25972
1997,01,05,27,2,466,25972
1997,01,05,27,3,5,25972
1997,01,05,27,4,10,25972
1997,01,05,27,5,435,25972
1997,01,05,27,6,0,25972
1997,01,05,27,7,0,25972
1997,01,06,28,1,15,14058
1997,01,06,28,2,172,14058
1997,01,06,28,3,0,14058
1997,01,06,28,4,6,14058
1997,01,06,28,5,175,14058
1997,01,06,28,6,0,14058
1997,01,06,28,7,0,14058
1997,01,06,29,1,5,6571
1997,01,06,29,2,48,6571
1997,01,06,29,3,0,6571
1997,01,06,29,4,0,6571
1997,01,06,29,5,78,6571
1997,01,06,29,6,0,6571
1997,01,06,29,7,0,6571
1997,01,06,30,1,0,12684
1997,01,06,30,2,172,12684
1997,01,06,30,3,0,12684
1997,01,06,30,4,5,12684
1997,01,06,30,5,117,12684
1997,01,06,30,6,0,12684
1997,01,06,30,7,0,12684
1997,01,06,31,1,11,46296
1997,01,06,31,2,763,46296
1997,01,06,31,3,0,46296
1997,01,06,31,4,36,46296
1997,01,06,31,5,469,46296
1997,01,06,31,6,0,46296
1997,01,06,31,7,0,46296
1997,01,06,32,1,11,33238
1997,01,06,32,2,345,33238
1997,01,06,32,3,0,33238
1997,01,06,32,4,5,33238
1997,01,06,32,5,282,33238
1997,01,06,32,6,0,33238
1997,01,06,32,7,0,33238
1997,01,07,33,1,5,24741
1997,01,07,33,2,327,24741
1997,01,07,33,3,0,24741
1997,01,07,33,4,23,24741
1997,01,07,33,5,120,24741
1997,01,07,33,6,0,24741
1997,01,07,33,7,0,24741
1997,01,07,34,1,5,8761
1997,01,07,34,2,69,8761
1997,01,07,34,3,5,8761
