Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Pisos
2017,01,06,32,229
2017,01,07,33,106
2017,01,07,34,20
2017,01,07,35,75
2017,01,07,36,4
2017,01,07,37,33
2017,01,07,38,9
2017,01,07,39,4
2017,01,07,40,0
2017,01,07,41,1
2017,01,07,42,0
2017,01,07,43,7
2017,01,08,44,9
2017,01,08,45,2
2017,01,08,46,0
2017,01,08,47,0
2017,01,08,48,1
2017,01,08,49,1
2017,01,08,50,2
2017,01,08,51,3
2017,01,08,52,4
2017,01,08,53,0
2017,01,08,54,0
2017,01,08,55,0
2017,01,08,56,0
2017,01,09,57,4
2017,01,09,58,0
2017,01,09,59,1
2017,01,09,60,29
2017,01,09,61,22
2017,01,09,62,6
2017,01,09,63,17
2017,01,10,64,267
2017,01,10,65,51
2017,01,10,66,103
2017,01,10,67,111
2017,01,10,68,395
2017,01,10,69,129
2017,01,10,70,32
2017,01,10,71,41
2017,01,10,72,15
2017,01,10,73,9
2018,01,01,01,179
2018,01,01,02,194
2018,01,01,03,66
2018,01,01,04,168
2018,01,02,05,331
2018,01,02,06,768
2018,01,02,07,1664
2018,01,02,08,708
2018,01,02,09,413
2018,01,02,10,587
2018,01,03,11,519
2018,01,03,12,3
2018,01,03,13,7
2018,01,03,14,73
2018,01,03,15,177
2018,01,03,16,44
2018,01,03,17,106
2018,01,03,18,245
2018,01,04,19,209
2018,01,04,20,46
2018,01,04,21,11
2018,01,05,22,3
2018,01,05,23,27
2018,01,05,24,35
2018,01,05,25,32
2018,01,05,26,244
2018,01,05,27,156
2018,01,06,28,40
2018,01,06,29,20
2018,01,06,30,37
2018,01,06,31,753
2018,01,06,32,227
2018,01,07,33,106
2018,01,07,34,20
2018,01,07,35,75
2018,01,07,36,4
2018,01,07,37,33
2018,01,07,38,9
2018,01,07,39,4
2018,01,07,40,0
2018,01,07,41,1
2018,01,07,42,0
2018,01,07,43,7
2018,01,08,44,9
2018,01,08,45,2
2018,01,08,46,0
2018,01,08,47,0
2018,01,08,48,1
2018,01,08,49,1
2018,01,08,50,2
2018,01,08,51,3
2018,01,08,52,3
2018,01,08,53,0
2018,01,08,54,0
2018,01,08,55,0
2018,01,08,56,0
2018,01,09,57,4
2018,01,09,58,0
2018,01,09,59,1
2018,01,09,60,28
2018,01,09,61,22
2018,01,09,62,6
2018,01,09,63,17
2018,01,10,64,265
2018,01,10,65,50
2018,01,10,66,101
2018,01,10,67,108
2018,01,10,68,389
2018,01,10,69,128
2018,01,10,70,32
2018,01,10,71,34
2018,01,10,72,15
2018,01,10,73,9
2019,01,01,01,191
2019,01,01,02,192
2019,01,01,03,65
2019,01,01,04,159
2019,01,02,05,332
2019,01,02,06,768
2019,01,02,07,1660
2019,01,02,08,710
2019,01,02,09,413
2019,01,02,10,584
2019,01,03,11,519
2019,01,03,12,3
2019,01,03,13,7
2019,01,03,14,73
2019,01,03,15,172
2019,01,03,16,44
2019,01,03,17,106
2019,01,03,18,245
2019,01,04,19,208
2019,01,04,20,46
2019,01,04,21,11
2019,01,05,22,3
2019,01,05,23,27
