Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,EDAT_10,Poblacio
1997,01,05,25,7,2742
1997,01,05,25,8,3247
1997,01,05,26,1,3376
1997,01,05,26,2,3938
1997,01,05,26,3,6980
1997,01,05,26,4,5820
1997,01,05,26,5,5131
1997,01,05,26,6,5296
1997,01,05,26,7,5771
1997,01,05,26,8,6670
1997,01,05,27,1,2226
1997,01,05,27,2,2623
1997,01,05,27,3,4104
1997,01,05,27,4,3832
1997,01,05,27,5,3659
1997,01,05,27,6,3213
1997,01,05,27,7,2924
1997,01,05,27,8,3397
1997,01,06,28,1,963
1997,01,06,28,2,1427
1997,01,06,28,3,2281
1997,01,06,28,4,1867
1997,01,06,28,5,1966
1997,01,06,28,6,1834
1997,01,06,28,7,1851
1997,01,06,28,8,1787
1997,01,06,29,1,505
1997,01,06,29,2,750
1997,01,06,29,3,1051
1997,01,06,29,4,970
1997,01,06,29,5,922
1997,01,06,29,6,899
1997,01,06,29,7,800
1997,01,06,29,8,662
1997,01,06,30,1,856
1997,01,06,30,2,1481
1997,01,06,30,3,2102
1997,01,06,30,4,1617
1997,01,06,30,5,1904
1997,01,06,30,6,1710
1997,01,06,30,7,1463
1997,01,06,30,8,1430
1997,01,06,31,1,2929
1997,01,06,31,2,3806
1997,01,06,31,3,6052
1997,01,06,31,4,6851
1997,01,06,31,5,5775
1997,01,06,31,6,4968
1997,01,06,31,7,6436
1997,01,06,31,8,9380
1997,01,06,32,1,2416
1997,01,06,32,2,3310
1997,01,06,32,3,4834
1997,01,06,32,4,4759
1997,01,06,32,5,4817
1997,01,06,32,6,4100
1997,01,06,32,7,4006
1997,01,06,32,8,4880
1997,01,07,33,1,1744
1997,01,07,33,2,2353
1997,01,07,33,3,3689
1997,01,07,33,4,3623
1997,01,07,33,5,3390
1997,01,07,33,6,2997
1997,01,07,33,7,3393
1997,01,07,33,8,3306
1997,01,07,34,1,614
1997,01,07,34,2,942
1997,01,07,34,3,1369
1997,01,07,34,4,1322
1997,01,07,34,5,1111
1997,01,07,34,6,1078
1997,01,07,34,7,1191
1997,01,07,34,8,1085
1997,01,07,35,1,2344
1997,01,07,35,2,3374
1997,01,07,35,3,5291
1997,01,07,35,4,4948
1997,01,07,35,5,4514
1997,01,07,35,6,4304
1997,01,07,35,7,4740
1997,01,07,35,8,4513
1997,01,07,36,1,730
1997,01,07,36,2,1254
1997,01,07,36,3,1682
1997,01,07,36,4,1268
1997,01,07,36,5,1501
1997,01,07,36,6,1365
1997,01,07,36,7,998
1997,01,07,36,8,838
1997,01,07,37,1,2469
1997,01,07,37,2,4103
1997,01,07,37,3,6449
1997,01,07,37,4,4542
1997,01,07,37,5,4268
1997,01,07,37,6,4791
1997,01,07,37,7,3981
1997,01,07,37,8,2656
1997,01,07,38,1,773
1997,01,07,38,2,1305
1997,01,07,38,3,2092
1997,01,07,38,4,1553
1997,01,07,38,5,1435
1997,01,07,38,6,1583
1997,01,07,38,7,1407
