Codi_Ciutat,Data_Referencia,Variable,Valor,Codi_Districte,Codi_Barri
NA,2007,Preu_Lloguer,831.100537985562,02,NA
NA,2007,Preu_Lloguer,668.8480967361384,03,NA
NA,2007,Preu_Lloguer,955.429246344207,04,NA
NA,2007,Preu_Lloguer,1014.2448477466503,05,NA
NA,2007,Preu_Lloguer,741.5934248210025,06,NA
NA,2007,Preu_Lloguer,660.2914962962961,07,NA
NA,2007,Preu_Lloguer,632.1307752442997,08,NA
NA,2007,Preu_Lloguer,675.8210760309279,09,NA
NA,2007,Preu_Lloguer,730.6151333606894,10,NA
NA,2008,Preu_Lloguer,729.5869728248797,01,NA
NA,2008,Preu_Lloguer,891.6376755111597,02,NA
NA,2008,Preu_Lloguer,725.9387001978239,03,NA
NA,2008,Preu_Lloguer,990.5826175879397,04,NA
NA,2008,Preu_Lloguer,1081.9069715450312,05,NA
NA,2008,Preu_Lloguer,792.0687466462377,06,NA
NA,2008,Preu_Lloguer,718.3601053315411,07,NA
NA,2008,Preu_Lloguer,676.5102096273292,08,NA
NA,2008,Preu_Lloguer,723.9038799884327,09,NA
NA,2008,Preu_Lloguer,770.1626009749302,10,NA
NA,2009,Preu_Lloguer,715.6755064283474,01,NA
NA,2009,Preu_Lloguer,862.8537776585758,02,NA
NA,2009,Preu_Lloguer,698.8613802978238,03,NA
NA,2009,Preu_Lloguer,933.7197145405887,04,NA
NA,2009,Preu_Lloguer,1029.2998762541806,05,NA
NA,2009,Preu_Lloguer,762.2838053097346,06,NA
NA,2009,Preu_Lloguer,689.6816138650764,07,NA
NA,2009,Preu_Lloguer,653.2752523933856,08,NA
NA,2009,Preu_Lloguer,707.2339708561021,09,NA
NA,2009,Preu_Lloguer,738.2563314489735,10,NA
NA,2010,Preu_Lloguer,678.7898240546218,01,NA
NA,2010,Preu_Lloguer,833.4628427584593,02,NA
NA,2010,Preu_Lloguer,671.9083610567515,03,NA
NA,2010,Preu_Lloguer,908.9365423242468,04,NA
NA,2010,Preu_Lloguer,998.6143324645236,05,NA
NA,2010,Preu_Lloguer,738.7269418338838,06,NA
NA,2010,Preu_Lloguer,652.1097073331141,07,NA
NA,2010,Preu_Lloguer,621.4629239269018,08,NA
NA,2010,Preu_Lloguer,672.7344634146342,09,NA
NA,2010,Preu_Lloguer,727.5044312796209,10,NA
NA,2011,Preu_Lloguer,663.0184922922923,01,NA
NA,2011,Preu_Lloguer,821.8094212719043,02,NA
NA,2011,Preu_Lloguer,671.5988551348793,03,NA
NA,2011,Preu_Lloguer,891.4545337365591,04,NA
NA,2011,Preu_Lloguer,1017.1143652956988,05,NA
NA,2011,Preu_Lloguer,737.052674523397,06,NA
NA,2011,Preu_Lloguer,636.7302714098361,07,NA
NA,2011,Preu_Lloguer,609.4270101188195,08,NA
NA,2011,Preu_Lloguer,658.3704601918465,09,NA
NA,2011,Preu_Lloguer,705.3873780762343,10,NA
NA,2012,Preu_Lloguer,644.1452034317253,01,NA
NA,2012,Preu_Lloguer,800.4475975633422,02,NA
NA,2012,Preu_Lloguer,633.0762935875587,03,NA
NA,2012,Preu_Lloguer,867.3554136125654,04,NA
NA,2012,Preu_Lloguer,984.4358269309463,05,NA
NA,2012,Preu_Lloguer,706.6008040047394,06,NA
NA,2012,Preu_Lloguer,605.9197663764636,07,NA
NA,2012,Preu_Lloguer,551.6863727367326,08,NA
NA,2012,Preu_Lloguer,626.8252541378052,09,NA
NA,2012,Preu_Lloguer,673.6015591480448,10,NA
NA,2013,Preu_Lloguer,618.6695988756464,01,NA
NA,2013,Preu_Lloguer,763.5268187506308,02,NA
NA,2013,Preu_Lloguer,596.4172654735572,03,NA
NA,2013,Preu_Lloguer,826.7089696695097,04,NA
NA,2013,Preu_Lloguer,935.4735354064757,05,NA
NA,2013,Preu_Lloguer,659.2457085978835,06,NA
NA,2013,Preu_Lloguer,566.5108780222695,07,NA
NA,2013,Preu_Lloguer,513.8204509114167,08,NA
NA,2013,Preu_Lloguer,578.501785001641,09,NA
NA,2013,Preu_Lloguer,637.3891632775367,10,NA
NA,2014,Preu_Lloguer,639.109763053744,01,NA
NA,2014,Preu_Lloguer,776.912531880109,02,NA
NA,2014,Preu_Lloguer,598.4327103760305,03,NA
NA,2014,Preu_Lloguer,853.0015559168443,04,NA
NA,2014,Preu_Lloguer,978.0216076403448,05,NA
NA,2014,Preu_Lloguer,673.86201340388,06,NA
NA,2014,Preu_Lloguer,563.7646912778366,07,NA
NA,2014,Preu_Lloguer,499.3110613687241,08,NA
NA,2014,Preu_Lloguer,575.1606003281917,09,NA
NA,2014,Preu_Lloguer,640.8130373630916,10,NA
NA,2015,Preu_Lloguer,675.7432,01,NA
NA,2015,Preu_Lloguer,831.4381,02,NA
NA,2015,Preu_Lloguer,624.5228,03,NA
NA,2015,Preu_Lloguer,925.4458,04,NA
NA,2015,Preu_Lloguer,1051.2329,05,NA
NA,2015,Preu_Lloguer,721.6543,06,NA
NA,2015,Preu_Lloguer,586.8461,07,NA
NA,2015,Preu_Lloguer,518.7996,08,NA
NA,2015,Preu_Lloguer,610.9954,09,NA
NA,2015,Preu_Lloguer,700.5647,10,NA
NA,2016,Preu_Lloguer,739.232259143622,01,NA
NA,2016,Preu_Lloguer,917.2738015844863,02,NA
NA,2016,Preu_Lloguer,678.780231038506,03,NA
NA,2016,Preu_Lloguer,985.9395993502976,04,NA
NA,2016,Preu_Lloguer,1144.71470659849,05,NA
NA,2016,Preu_Lloguer,787.8632526549762,06,NA
NA,2016,Preu_Lloguer,640.1547948577677,07,NA
NA,2016,Preu_Lloguer,561.069426111908,08,NA
NA,2016,Preu_Lloguer,644.9080122699382,09,NA
NA,2016,Preu_Lloguer,771.4093791574273,10,NA
NA,2017,Preu_Lloguer,828.7861342174,01,NA
NA,2017,Preu_Lloguer,990.7334956105342,02,NA
NA,2017,Preu_Lloguer,763.1678843813386,03,NA
NA,2017,Preu_Lloguer,1052.2979962458937,04,NA
NA,2017,Preu_Lloguer,1227.8929051126524,05,NA
NA,2017,Preu_Lloguer,856.4197979797984,06,NA
NA,2017,Preu_Lloguer,706.6259842707337,07,NA
NA,2017,Preu_Lloguer,625.5069294342021,08,NA
NA,2017,Preu_Lloguer,705.6614185110658,09,NA
NA,2017,Preu_Lloguer,842.3285327973693,10,NA
NA,2018,Preu_Lloguer,914.0412850010855,01,NA
NA,2018,Preu_Lloguer,1038.379705550248,02,NA
NA,2018,Preu_Lloguer,803.7375108337669,03,NA
NA,2018,Preu_Lloguer,1089.526003394145,04,NA
NA,2018,Preu_Lloguer,1268.915012252592,05,NA
NA,2018,Preu_Lloguer,904.5256330204938,06,NA
NA,2018,Preu_Lloguer,746.1606716914212,07,NA
NA,2018,Preu_Lloguer,674.5904616724739,08,NA
NA,2018,Preu_Lloguer,762.7112328767122,09,NA
NA,2018,Preu_Lloguer,884.5073144580326,10,NA
NA,2019,Preu_Lloguer,945.5301408450696,01,NA
NA,2019,Preu_Lloguer,1093.697829725304,02,NA
NA,2019,Preu_Lloguer,841.4944746932506,03,NA
NA,2019,Preu_Lloguer,1156.9513347826082,04,NA
NA,2019,Preu_Lloguer,1316.5656202058005,05,NA
NA,2019,Preu_Lloguer,957.7335962330787,06,NA
NA,2019,Preu_Lloguer,794.8831301369866,07,NA
NA,2019,Preu_Lloguer,704.5164616340483,08,NA
NA,2019,Preu_Lloguer,796.3112790306284,09,NA
NA,2019,Preu_Lloguer,941.7123886073732,10,NA
NA,2020,Preu_Lloguer,913.6647140381283,01,NA
NA,2020,Preu_Lloguer,1075.436848506317,02,NA
NA,2020,Preu_Lloguer,846.8780754627431,03,NA
NA,2020,Preu_Lloguer,1112.4963789359394,04,NA
NA,2020,Preu_Lloguer,1305.726905972656,05,NA
NA,2020,Preu_Lloguer,950.3625096326737,06,NA
NA,2020,Preu_Lloguer,799.3172789931078,07,NA
NA,2020,Preu_Lloguer,705.5058051846033,08,NA
NA,2020,Preu_Lloguer,797.8238361190375,09,NA
NA,2020,Preu_Lloguer,929.9076919822304,10,NA
NA,2021,Preu_Lloguer,846.4039719136446,01,NA
NA,2021,Preu_Lloguer,1007.5749322194198,02,NA
NA,2021,Preu_Lloguer,799.6923035045937,03,NA
NA,2021,Preu_Lloguer,1054.1371233943169,04,NA
NA,2021,Preu_Lloguer,1246.3959893507385,05,NA
NA,2021,Preu_Lloguer,896.3547867298579,06,NA
NA,2021,Preu_Lloguer,768.8212979286023,07,NA
NA,2021,Preu_Lloguer,684.4899746835442,08,NA
NA,2021,Preu_Lloguer,764.0699555292018,09,NA
NA,2021,Preu_Lloguer,888.3388604126375,10,NA
NA,2022,Preu_Lloguer,1008.3509575543202,01,NA
NA,2022,Preu_Lloguer,1140.424348305596,02,NA
NA,2022,Preu_Lloguer,916.8617730769216,03,NA
NA,2022,Preu_Lloguer,1185.7084013127048,04,NA
NA,2022,Preu_Lloguer,1384.0601654591735,05,NA
NA,2022,Preu_Lloguer,999.7711018381566,06,NA
NA,2022,Preu_Lloguer,819.7131257752417,07,NA
NA,2022,Preu_Lloguer,730.3625323859886,08,NA
NA,2022,Preu_Lloguer,829.3844072429104,09,NA
NA,2022,Preu_Lloguer,1000.1564286989139,10,NA
NA,2023,Preu_Lloguer,1079.0063846945775,01,NA
