Data_Referencia,Codi_Barri,Renda,Var_Renda,Pisos,Perc_Domicilis,Var_Domicilis,Perc_Edat,Var_Edat,Perc_Regio,Var_Regio,Perc_Uni,Var_Uni,Lloguer,Var_Lloguer
2020,01,10971.809461923827,0.12989306954323396,191,0.24861719290159023,0.018034081360336907,0.5683861907057665,-0.0021229289726392153,0.11442723681735532,0.01996427860151323,0.2720019226147561,0.05848602588228169,14.038781235917654,0.2642425355412359
2020,02,16221.377245508982,0.165311540221956,193,0.28498035660320337,-0.0028488470745276495,0.6698633982035929,0.07059869232123994,0.17903727428863203,-0.022330358404301864,0.3276695400867009,-0.039368733008520285,13.633715413462417,0.21627521664517424
2020,03,14798.553745484289,0.15309656032253754,64,0.2856531660011409,0.03080059524991846,0.5816917728852838,0.04555251946854355,0.18483730291848374,0.03148957073705827,0.3058560507716717,0.06862789006396808,17.283146098294704,0.058406683545917465
2020,04,16963.035304926067,0.17337432006335188,159,0.2996082272282076,0.017043707821582932,0.5856155394172718,0.007516645761819096,0.21022727272727273,0.029059376380322938,0.42162110495125216,0.0594430548341795,14.6156783308734,0.15103114143861582
2020,05,21968.75557974959,0.13953433947482577,332,0.16774143423199442,-0.007296135964952516,0.4673380511703865,0.022158527758478208,0.08938462935496565,0.02042133251014916,0.40345459481471424,0.044554554961085735,13.900360175981906,0.27633967899345363
2020,06,21403.56263096624,0.12553252606026388,765,0.18167341553300878,0.003239228765102853,0.4538222739619713,0.009866839998210919,0.06906114849795396,0.01547339258461665,0.39476226253085756,0.0576360386621092,14.30856438754802,0.2884678559894121
2020,07,28957.789630376035,0.10726691091807024,1662,0.20356660362064308,-0.005210791580756047,0.45529702743553335,0.011903878985288663,0.12651499530322818,0.028083183485810098,0.5281632233528626,0.04490194119343621,14.156206418242176,0.2536935791422097
2020,08,26912.774770329645,0.1533995930193066,709,0.20808548138356467,-7.742214379612977e-4,0.4764925636145767,0.02324991119776837,0.09928661942084761,0.014621266526898269,0.49733093768715986,0.05384155978002497,14.32006576315368,0.2599258972666843
2020,09,24456.657422172917,0.1399886717738789,413,0.17895119880321836,-0.001631165975622656,0.4490223947861055,0.009197873564801395,0.06421732430701041,0.011327879284892366,0.4494911746104755,0.059932627334332744,14.42170366836244,0.27989276336872365
2020,10,21165.284651211197,0.13329857297472072,586,0.18718639089462735,0.003739818936628586,0.46316967189654723,0.007988641538739794,0.08471937517839072,0.01702116750308645,0.3891965161215897,0.05936396183486109,13.94538330226278,0.2726560594160069
2020,11,15111.45010455244,0.17145887814930505,515,0.21650388179313798,0.022184190478064275,0.5104678406771975,0.003001395611598623,0.10351410414207128,0.025665732679777523,0.2959120208074183,0.0665401607977677,14.264062240931189,0.2858267820153777
2020,12,12952,0.2727987421383648,3,0.23983739837398374,0.02522552622786503,0.4406354515050167,-0.011006884261406669,0.020798668885191347,0.0017769297547565628,0.048503611971104234,0.022468109012524353,6.501293991554146,-0.01601398623387781
2020,13,15465.16103251587,0.13600820604534689,6,0.1415415249315523,0.003935574403961917,0.40449872707937223,-0.017767368490163304,0.02883033957883195,0.0037265773616676733,0.16780643722589758,0.03208574985497445,11.149334735857613,0.3332537800726591
2020,14,19422.97554055376,0.14600632042902967,73,0.17540983606557378,-0.0072824716267339,0.44203111241561494,-0.011909171480616099,0.0669921875,0.0020761390814135056,0.3191098628065248,0.042373368870471884,13.324871492147988,0.1762048153934687
2020,15,18272.370646922256,0.13730072163663085,177,0.20827112570916692,0.016028292656890375,0.48961536048189747,0.009102573005249914,0.07675,0.018732376021097313,0.33630430205628464,0.06806951569461006,13.9583014743753,0.25528809259103746
2020,16,18801.92860103627,0.16842187914453216,44,0.15365111561866127,-8.501009263509052e-4,0.41699481865284976,-0.0030692626641317666,0.03426791277258567,0.004732514542497172,0.2664751407129456,0.054003146687553516,12.980803680805824,0.3187986955882742
2020,17,18074.201063139102,0.11138841720192769,106,0.1684043292622381,-0.0028596901375800288,0.4413244603148839,0.00635689229197095,0.042688870836718115,0.009497704923116496,0.2821971420770001,0.05324790949140387,13.831488158233396,0.2879439956638666
2020,18,20518.65184618239,0.1469343699744417,245,0.1927409988385598,0.005461431474346301,0.4680860933296224,0.016712097020211425,0.0553583443539593,0.009940117137979279,0.33587270221783105,0.04354610091611871,13.861959482516596,0.2610952949887732
2020,19,28360.32795593582,0.14114556863364972,206,0.15363332637293797,-0.0032619341384560463,0.3921146017024797,-0.003396542889180676,0.04499967153524427,0.010111044206189662,0.45006150061500616,0.048857490565004935,14.858315440082452,0.2539932685236016
2020,20,25007.906372569694,0.12013341587364784,44,0.13507109004739337,4.4359791727793807e-4,0.3938678250600987,-0.0021318352082892456,0.03889665692131689,0.007956485981145952,0.4046683282208589,0.04335780063714412,13.966182905817798,0.22264774320162106
2020,21,41190.154341380774,0.1339618405582499,11,0.11598966893637004,0.0014265621402535372,0.3584074544684456,-0.007576363744672021,0.103653862533004,0.010548025013516732,0.5275511231993553,0.021527026813813133,15.466036033457891,0.09336924868740082
2020,22,27499.13532209252,0.1308925274281743,3,0.13878562577447337,-0.014660408035669675,0.38715953307393,-0.0211701275695253,0.11250540891389009,0.01954890637469822,0.439572192513369,0.025509692513368987,12.47392625453489,0.030877437297826413
2020,23,36904.85350216381,0.15925209032028678,27,0.1435492957746479,-0.005578511772952155,0.369370091360795,-0.013570166671911021,0.09245457841517947,0.012654388513020365,0.519008345127129,0.028304460409035614,16.978896536050428,0.1680503392278829
