Data_Referencia,Codi_Barri,Punt_Renda,Punt_Pisos,Punt_Domicilis,Punt_Edat,Punt_Regio,Punt_Uni,Punt_Lloguer,Punt_Gentrificacio
2020,01,0.24494465584856567,0.32593856655290104,0.9516972796024082,0.6546420559720494,0.8540811745554858,0.7734682681191968,0.6183900392238936,0.631880291410643
2020,02,0.6649299742428831,0.3293515358361775,0.530761848450458,1,0.3333333333333333,0.18925910781274077,0.4639965117779823,0.5016617587790821
2020,03,0.526112975752237,0.10921501706484642,1,1,1,0.8661296223646263,0.39516695862092244,0.6995177962575189
2020,04,0.7534889564159711,0.2713310580204778,0.9317344035222084,0.7917468330231705,1,0.9057699730017719,0.3373362397162504,0.7130582090999786
2020,05,0.5080078184955531,0.5665529010238908,0.2256019361843706,0.836505786684467,0.7847281611523563,0.6706321781114049,0.6442476644274143,0.6051823494399224
2020,06,0.3654522245887982,1,0.4750880926572153,0.6398113985974894,0.5868003136834479,0.8577695448789078,0.6999099668161978,0.6606902201745795
2020,07,0.30838203284798393,1,0.3631023221401311,0.6711705644002985,1,0.77374534692644,0.5956632895658313,0.6731519365543835
2020,08,0.7173298655307216,1,0.46457171831986066,0.8513176359400002,0.6625048371473374,0.8824646236043342,0.6217707611529241,0.7428513488135969
2020,09,0.5510240958368318,0.7047781569965871,0.3696618409536134,0.6225304874150515,0.46063449992678407,0.9350309042804986,0.6823972835362015,0.6180081812779383
2020,10,0.4359426939340572,1,0.4998693253843705,0.628221501268923,0.6789926621663049,0.879001150280077,0.6365301583657049,0.6797939273427768
2020,11,0.7064055193628763,0.878839590443686,0.9144250192899464,0.6338149828196943,0.9359413995284411,0.858279836052645,0.6902021454607112,0.8025583561368572
2020,12,0.8459881834544842,0.005119453924914676,0.9766037595811661,0.3215859644010862,0.06494140007153779,0.09400547018889978,0,0.32974917594601266
2020,13,0.37321840910986115,0.010238907849829351,0.3821815242685141,0.16696220123790567,0.1430080577305795,0.29969924356699484,0.6517397426751885,0.28957829806269614
2020,14,0.5302638392741749,0.12457337883959044,0.24631198801992715,0.31101078599364484,0.22328949441607165,0.5717036087495553,0.33662676541338,0.3348256943866206
2020,15,0.42920625702111853,0.30204778156996587,0.8037532826887371,0.6868537616588829,0.6986192029175313,0.8901653771860535,0.5893037785885209,0.6285642059472586
2020,16,0.7347612745737813,0.07508532423208192,0.31798649139863006,0.3962335150362475,0.1874983264220719,0.7026241178376915,0.7114231139007073,0.4465160233430302
2020,17,0.17856675626890772,0.18088737201365188,0.31679347229275934,0.5696677546668031,0.3418115729035786,0.7038348108667609,0.6725265395213922,0.42344118264769337
2020,18,0.5561630151350574,0.4180887372013652,0.549373544962609,0.7602508974234536,0.3948378768442782,0.6023278177437272,0.6000914183454794,0.5544476153794243
2020,19,0.6227613299353292,0.3515358361774744,0.26932396783343837,0.3513227926111241,0.3656677614650149,0.7712362777945633,0.6346627235817074,0.48093009848552165
2020,20,0.36990202628818264,0.07508532423208192,0.294551748194197,0.3721475613165675,0.28842284798380835,0.6538423681578964,0.4996578261317545,0.3648013860434983
2020,21,0.6869590641404015,0.01877133105802048,0.26351744346642075,0.24374389439897667,0.5682496885986645,0.42709418101819624,0.33809765111571505,0.36377617911377075
2020,22,0.511418981584582,0.005119453924914676,0,0.09050984034296605,0.8367632217808789,0.4167070212288579,0.17542200198447092,0.2908486458352386
2020,23,0.9285749817163181,0.04607508532423208,0.195757161875609,0.16982193430712655,0.5878846418916839,0.5208602225822339,0.487604225417348,0.4195111790163645
2020,24,0.752987611110929,0.059726962457337884,0.0620518775653299,0,0.13220565407617338,0.5248063300685788,0.5273581361674708,0.2941623673494028
2020,25,0.8932192710977086,0.05460750853242321,0.16627650818842996,0.2812702565881807,0.5166910860704963,0.7376400849041401,0.4941703542492025,0.44912500994722593
2020,26,0.670407042003011,0.41638225255972694,0.3168496757164689,0.301962862342116,0.5628232899134521,0.6468870936039427,0.5207068235402453,0.4908598628112804
2020,27,0.6094078474067124,0.2440273037542662,0.17879344640592937,0.3967897509397178,0.5997146847949939,0.7307842371816594,0.56487709107448,0.474913480222537
2020,28,0.2192618322972836,0.06825938566552901,0.4032502653046795,0.328335883574172,0.4733069517876549,0.6394240432690352,0.5792759236693361,0.38730204079538433
2020,29,0.5241423980808918,0.034129692832764506,0.49381450652275605,0.41904905458534014,0.13952870185983887,0.5736360101996445,0.44138493588808725,0.3750978999956176
2020,30,0.5053900727374212,0.06313993174061433,0.5227029826954996,0.3910456822451544,0.3403670226109061,0.6283532755938569,0.4454606078730345,0.41377993935664104
2020,31,1,1,0.6475248465406104,0.5827194531787515,0.9360066652512895,1,0.5215946429028517,0.8125493725533576
2020,32,0.5210583188065857,0.38054607508532423,0.4109126665521079,0.6014742787711701,0.5826908806418918,0.7698974839441224,0.5607258357498561,0.5467579342215797
2020,33,0.3570590837466409,0.15699658703071673,0.22222093950624505,0.4119972771514986,0.30073557462950623,0.7040693072805602,0.70705506031603,0.4085905470944568
2020,34,0.6021028497589053,0.034129692832764506,0.4900235163835946,0.6176066724850673,0.4387334597153193,0.6880838128713823,0.6104966893933711,0.49731095620577204
2020,35,0.3617133481750673,0.11945392491467577,0.49688970346203676,0.47436037125553354,0.37531189604599025,0.6777091939695071,0.6008680247706827,0.4437580660847848
2020,36,0.5518729572354839,0.006825938566552901,0.5198622358049657,0.29862177568923426,0.3015390972683612,0.5856523663695195,0.1987652003938305,0.3518770816182783
